event_id,timestamp,unit_number,credential_id,holder_type,access_point,direction,result
EVT-002855,2026-08-01T06:00:00+08:00,B-06-02,B-06-02-ACT-07,access_card,main_lobby,entry,granted
EVT-002823,2026-08-01T06:12:00+08:00,B-06-02,B-06-02-ACT-05,access_card,main_lobby,entry,granted
EVT-002791,2026-08-01T06:16:00+08:00,B-06-02,B-06-02-ACT-03,access_card,main_lobby,exit,granted
EVT-002871,2026-08-01T06:50:00+08:00,B-06-02,B-06-02-ACT-08,access_card,main_lobby,entry,granted
EVT-002437,2026-08-01T07:11:00+08:00,B-07-01,B-07-01-RES-1,resident,main_lobby,exit,granted
EVT-001555,2026-08-01T07:12:00+08:00,B-03-01,B-03-01-RES-1,resident,main_lobby,exit,granted
EVT-000551,2026-08-01T07:22:00+08:00,A-04-02,A-04-02-RES-1,resident,main_lobby,exit,granted
EVT-001207,2026-08-01T07:28:00+08:00,A-07-02,A-07-02-RES-1,resident,main_lobby,exit,granted
EVT-001607,2026-08-01T07:37:00+08:00,B-03-01,B-03-01-RES-2,resident,main_lobby,exit,granted
EVT-001659,2026-08-01T07:37:00+08:00,B-03-01,B-03-01-RES-3,resident,main_lobby,exit,granted
EVT-000357,2026-08-01T07:40:00+08:00,A-03-02,A-03-02-RES-3,resident,main_lobby,exit,granted
EVT-001505,2026-08-01T07:41:00+08:00,B-02-02,B-02-02-RES-2,resident,main_lobby,exit,granted
EVT-001261,2026-08-01T07:55:00+08:00,A-07-02,A-07-02-RES-2,resident,main_lobby,exit,granted
EVT-000905,2026-08-01T08:00:00+08:00,A-06-01,A-06-01-RES-2,resident,main_lobby,exit,granted
EVT-000047,2026-08-01T08:04:00+08:00,A-02-02,A-02-02-RES-1,resident,main_lobby,exit,granted
EVT-001151,2026-08-01T08:21:00+08:00,A-07-01,A-07-01-RES-2,resident,main_lobby,exit,granted
EVT-000103,2026-08-01T08:23:00+08:00,A-02-02,A-02-02-RES-2,resident,main_lobby,exit,granted
EVT-000455,2026-08-01T08:30:00+08:00,A-04-01,A-04-01-RES-2,resident,main_lobby,exit,granted
EVT-001715,2026-08-01T08:30:00+08:00,B-03-02,B-03-02-RES-1,resident,main_lobby,exit,granted
EVT-001977,2026-08-01T08:33:00+08:00,B-04-02,B-04-02-RES-2,resident,main_lobby,exit,granted
EVT-000001,2026-08-01T08:34:00+08:00,A-02-01,A-02-01-RES-1,resident,main_lobby,exit,granted
EVT-001459,2026-08-01T08:46:00+08:00,B-02-02,B-02-02-RES-1,resident,main_lobby,exit,granted
EVT-000749,2026-08-01T08:50:00+08:00,A-05-02,A-05-02-RES-1,resident,main_lobby,exit,granted
EVT-000655,2026-08-01T08:53:00+08:00,A-05-01,A-05-01-RES-2,resident,main_lobby,exit,granted
EVT-001359,2026-08-01T08:57:00+08:00,B-02-01,B-02-01-RES-2,resident,main_lobby,exit,granted
EVT-002339,2026-08-01T09:12:00+08:00,B-06-02,B-06-02-RES-1,resident,main_lobby,exit,granted
EVT-002497,2026-08-01T09:12:00+08:00,B-07-01,B-07-01-RES-2,resident,main_lobby,exit,granted
EVT-002179,2026-08-01T09:18:00+08:00,B-05-02,B-05-02-RES-2,resident,main_lobby,exit,granted
EVT-002285,2026-08-01T09:26:00+08:00,B-06-01,B-06-01-RES-2,resident,main_lobby,exit,granted
EVT-001403,2026-08-01T09:28:00+08:00,B-02-01,B-02-01-RES-3,resident,main_lobby,exit,granted
EVT-001869,2026-08-01T09:38:00+08:00,B-04-01,B-04-01-RES-3,resident,main_lobby,exit,granted
EVT-000253,2026-08-01T09:40:00+08:00,A-03-02,A-03-02-RES-1,resident,main_lobby,exit,granted
EVT-000401,2026-08-01T09:57:00+08:00,A-04-01,A-04-01-RES-1,resident,main_lobby,exit,granted
EVT-002387,2026-08-01T09:58:00+08:00,B-06-02,B-06-02-RES-2,resident,main_lobby,exit,granted
EVT-000155,2026-08-01T10:00:00+08:00,A-03-01,A-03-01-RES-1,resident,main_lobby,exit,granted
EVT-000705,2026-08-01T10:16:00+08:00,A-05-01,A-05-01-RES-3,resident,main_lobby,exit,granted
EVT-000305,2026-08-01T10:19:00+08:00,A-03-02,A-03-02-RES-2,resident,main_lobby,exit,granted
EVT-002607,2026-08-01T10:20:00+08:00,B-07-02,B-07-02-RES-2,resident,main_lobby,exit,granted
EVT-002231,2026-08-01T10:22:00+08:00,B-06-01,B-06-01-RES-1,resident,main_lobby,exit,granted
EVT-001923,2026-08-01T10:23:00+08:00,B-04-02,B-04-02-RES-1,resident,main_lobby,exit,granted
EVT-000207,2026-08-01T10:26:00+08:00,A-03-01,A-03-01-RES-2,resident,main_lobby,exit,granted
EVT-000603,2026-08-01T10:32:00+08:00,A-05-01,A-05-01-RES-1,resident,main_lobby,exit,granted
EVT-001099,2026-08-01T10:38:00+08:00,A-07-01,A-07-01-RES-1,resident,main_lobby,exit,granted
EVT-000499,2026-08-01T10:54:00+08:00,A-04-01,A-04-01-RES-3,resident,main_lobby,exit,granted
EVT-002705,2026-08-01T15:00:00+08:00,B-04-01,B-04-01-WK-01-1,visitor_qr,main_lobby,entry,granted
EVT-002707,2026-08-01T15:20:00+08:00,B-04-01,B-04-01-WK-01-2,visitor_qr,main_lobby,entry,granted
EVT-002709,2026-08-01T15:40:00+08:00,B-04-01,B-04-01-WK-01-3,visitor_qr,main_lobby,entry,granted
EVT-000402,2026-08-01T17:02:00+08:00,A-04-01,A-04-01-RES-1,resident,main_lobby,entry,granted
