unit_number,registered_occupants,unique_credentials_30d,unique_visitor_credentials_30d,late_night_entries_30d,total_entries_30d,web_match_found,web_image_similarity,web_text_similarity,demo_risk_score,demo_label
A-02-01,1,1,0,7,23,False,0.0,0.0,21,normal
A-02-02,2,2,0,11,54,False,0.0,0.0,26,normal
A-03-01,2,12,10,8,69,True,0.74,0.79,94,suspicious
A-03-02,4,3,0,14,74,False,0.0,0.0,18,normal
A-04-01,3,3,0,16,75,False,0.0,0.0,13,normal
A-04-02,1,1,0,4,26,False,0.0,0.0,6,normal
A-05-01,4,3,0,12,73,False,0.0,0.0,7,normal
A-05-02,2,10,8,12,61,False,0.0,0.0,82,suspicious
A-06-01,3,3,0,15,75,False,0.0,0.0,16,normal
A-06-02,2,2,0,3,47,False,0.0,0.0,16,normal
A-07-01,2,2,0,8,54,False,0.0,0.0,19,normal
A-07-02,2,8,6,14,57,True,0.91,0.86,91,suspicious
B-02-01,3,3,0,13,75,False,0.0,0.0,20,normal
B-02-02,2,2,0,5,48,False,0.0,0.0,21,normal
B-03-01,3,3,0,23,80,False,0.0,0.0,21,normal
B-03-02,1,1,0,11,27,False,0.0,0.0,18,normal
B-04-01,4,30,27,14,104,True,0.41,0.38,58,ambiguous
B-04-02,2,2,0,10,53,False,0.0,0.0,8,normal
B-05-01,2,2,0,8,49,False,0.0,0.0,20,normal
B-05-02,2,2,0,7,52,False,0.0,0.0,27,normal
B-06-01,2,2,0,12,54,False,0.0,0.0,22,normal
B-06-02,2,10,8,24,122,False,0.0,0.0,73,needs_review
B-07-01,2,2,0,9,56,False,0.0,0.0,26,normal
B-07-02,2,2,0,8,55,False,0.0,0.0,22,normal
