visitor_id,unit_number,visitor_alias,declared_purpose,valid_from,valid_until,host_declared,registration_channel
VIS-00001,B-05-01,Guest-1,delivery_support,2026-08-05T11:00:00+08:00,2026-08-05T17:00:00+08:00,True,resident_app
VIS-00002,B-05-01,Guest-2,family_visit,2026-08-09T13:00:00+08:00,2026-08-09T18:00:00+08:00,True,guard_desk
VIS-00003,A-05-01,Guest-3,family_visit,2026-08-06T16:00:00+08:00,2026-08-06T20:00:00+08:00,True,resident_app
VIS-00004,A-05-01,Guest-4,delivery_support,2026-08-26T13:00:00+08:00,2026-08-26T19:00:00+08:00,True,resident_app
VIS-00005,B-03-02,Guest-5,friend_visit,2026-08-14T19:00:00+08:00,2026-08-14T22:00:00+08:00,True,guard_desk
VIS-00006,B-03-01,Guest-6,delivery_support,2026-08-09T11:00:00+08:00,2026-08-09T16:00:00+08:00,True,resident_app
VIS-00007,B-03-01,Guest-7,friend_visit,2026-08-08T16:00:00+08:00,2026-08-08T22:00:00+08:00,True,resident_app
VIS-00008,A-03-02,Guest-8,friend_visit,2026-08-05T11:00:00+08:00,2026-08-05T13:00:00+08:00,True,resident_app
VIS-00009,A-03-02,Guest-9,family_visit,2026-08-16T19:00:00+08:00,2026-08-17T00:00:00+08:00,True,guard_desk
VIS-00010,A-03-02,Guest-10,friend_visit,2026-08-16T12:00:00+08:00,2026-08-16T17:00:00+08:00,True,resident_app
VIS-00011,A-06-02,Guest-11,delivery_support,2026-08-18T11:00:00+08:00,2026-08-18T16:00:00+08:00,True,resident_app
VIS-00012,B-05-02,Guest-12,family_visit,2026-08-12T15:00:00+08:00,2026-08-12T17:00:00+08:00,True,resident_app
VIS-00013,A-04-01,Guest-13,family_visit,2026-08-22T15:00:00+08:00,2026-08-22T20:00:00+08:00,True,resident_app
VIS-00014,A-04-01,Guest-14,family_visit,2026-08-15T18:00:00+08:00,2026-08-15T23:00:00+08:00,True,resident_app
VIS-00015,B-02-02,Guest-15,delivery_support,2026-08-21T18:00:00+08:00,2026-08-21T20:00:00+08:00,True,resident_app
VIS-00016,B-02-02,Guest-16,delivery_support,2026-08-13T16:00:00+08:00,2026-08-13T18:00:00+08:00,True,guard_desk
VIS-00017,B-07-01,Guest-17,delivery_support,2026-08-25T15:00:00+08:00,2026-08-25T21:00:00+08:00,True,resident_app
VIS-00018,B-07-01,Guest-18,delivery_support,2026-08-26T12:00:00+08:00,2026-08-26T16:00:00+08:00,True,resident_app
VIS-00019,A-04-02,Guest-19,family_visit,2026-08-22T16:00:00+08:00,2026-08-22T18:00:00+08:00,True,guard_desk
VIS-00020,A-04-02,Guest-20,delivery_support,2026-08-12T18:00:00+08:00,2026-08-12T20:00:00+08:00,True,guard_desk
VIS-00021,A-04-02,Guest-21,delivery_support,2026-08-12T13:00:00+08:00,2026-08-12T19:00:00+08:00,True,resident_app
VIS-00022,B-06-01,Guest-22,family_visit,2026-08-23T14:00:00+08:00,2026-08-23T18:00:00+08:00,True,resident_app
VIS-00023,B-06-01,Guest-23,delivery_support,2026-08-18T12:00:00+08:00,2026-08-18T17:00:00+08:00,True,resident_app
VIS-00024,B-06-01,Guest-24,friend_visit,2026-08-25T14:00:00+08:00,2026-08-25T18:00:00+08:00,True,guard_desk
VIS-00025,A-03-01,Traveller-1,friend_visit,2026-08-03T13:00:00+08:00,2026-08-05T13:00:00+08:00,False,self_service_qr
VIS-00026,A-03-01,Traveller-2,friend_visit,2026-08-05T13:00:00+08:00,2026-08-07T13:00:00+08:00,False,self_service_qr
VIS-00027,A-03-01,Traveller-3,friend_visit,2026-08-07T13:00:00+08:00,2026-08-09T13:00:00+08:00,False,self_service_qr
VIS-00028,A-03-01,Traveller-4,friend_visit,2026-08-09T13:00:00+08:00,2026-08-11T13:00:00+08:00,False,self_service_qr
